Date,PetrolPump_Name,Location,Product_Type,Quantity,Rate_per_KL ,Total_Amount,PO_Number,PO_Date,Dispatch_Date,Invoice_No.,Payment_Status,Remarks,Stockout_Flag,Dispatch_Time_hrs,Delivered_On_Time,Tank_Temp_C,Tank_Temp_Alert,Sludge_Level_%,Sludge_Alert,Tank_Cleaning_Scheduled
27-05-2025,Highway Pumps,Mandla,HSD (Diesel),16,79000,1264000,IOCL/MAN/10000,25-05-2025,27-05-2025,INV10000,Pending,Cancelled due to issue,No,48,Yes,45.9,No,4.4,No,Not Scheduled
30-05-2025,SpeedWay Fuels,Mandla,HSD (Diesel),27,74000,1998000,IOCL/MAN/10001,27-05-2025,30-05-2025,INV10001,Paid,Partially delivered,No,72,Yes,47.1,No,4,No,Not Scheduled
08-05-2025,Highway Pumps,Chhindwara,MS (Petrol),24,72500,1740000,IOCL/CHH/10002,03-05-2025,08-05-2025,INV10002,Pending,Cancelled due to issue,No,120,No,52.8,No,2.6,No,Not Scheduled
11-05-2025,Bharat Filling Station,Seoni,XP95,15,72500,1087500,IOCL/SEO/10003,09-05-2025,11-05-2025,INV10003,Pending,Partially delivered,No,48,Yes,45.1,No,6.5,No,Scheduled
09-05-2025,Highway Pumps,Jabalpur,HSD (Diesel),16,74000,1184000,IOCL/JAB/10004,04-05-2025,09-05-2025,INV10004,Paid,Awaiting payment,No,120,No,53,No,5.3,No,Not Scheduled
24-05-2025,Highway Pumps,Damoh,MS (Petrol),10,72500,725000,IOCL/DAM/10005,22-05-2025,24-05-2025,INV10005,Pending,Cancelled due to issue,No,48,Yes,41.3,No,8.8,Yes,Not Scheduled
10-05-2025,SpeedWay Fuels,Jabalpur,HSD (Diesel),20,74000,1480000,IOCL/JAB/10006,06-05-2025,10-05-2025,INV10006,Paid,Delivered on time,Yes,96,No,51.7,No,1.3,No,Not Scheduled
31-05-2025,ABC Fuels,Mandla,XP95,5,81500,407500,IOCL/MAN/10007,29-05-2025,31-05-2025,INV10007,Paid,Partially delivered,No,48,Yes,52.7,No,6.8,No,Not Scheduled
27-05-2025,SpeedWay Fuels,Jabalpur,HSD (Diesel),6,74000,444000,IOCL/JAB/10008,23-05-2025,27-05-2025,INV10008,Pending,Awaiting payment,No,96,No,42.7,No,7.9,Yes,Not Scheduled
28-05-2025,Bharat Filling Station,Chhindwara,XP100,11,74000,814000,IOCL/CHH/10009,25-05-2025,28-05-2025,INV10009,Pending,Cancelled due to issue,No,72,Yes,46.5,No,7.8,Yes,Not Scheduled
